ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084915-999-57,1,3,2022,1,12,40,12,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,55,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 ORIENTE,JOSÉ H. ESCOBEDO,,-102.2754905,21.89233828,691
1084915-999-58,1,3,2022,1,13,45,12,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,OJOCALIENTE,SAN GABRIEL,,-102.2484458,21.87264558,692
1084915-999-59,1,3,2022,1,20,10,12,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN,BELISARIO DOMÍNGUEZ,,-102.3073912,21.85103606,693
1084915-999-6,1,3,2022,1,15,0,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,AQUILES ELORDUY,,-102.3179205,21.88063163,694
1084915-999-60,1,3,2022,1,1,7,13,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,PLAZUELA JUÁREZ,GENERAL GUADALUPE VICTORIA,,-102.2985905,21.88410455,695
1084915-999-61,1,3,2022,1,9,30,13,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,34,0,0,0,0,0,0,0,0,0,0,0,0,3,GABRIELA MISTRAL,AVENIDA DE LA CONVENCIÓN ORIENTE,,-102.279494,21.89799805,696
1084915-999-62,1,3,2022,1,18,50,13,7,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,MAHATMA GANDHI,SIGLO XXI,,-102.29374659999999,21.84467211,697
1084915-999-63,1,3,2022,1,20,40,13,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,POLIDUCTO,HACIENDA DE OJOCALIENTE,,-102.24428879999999,21.88968431,698
1084915-999-64,1,3,2022,1,14,40,14,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,55,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL IGNACIO ZARAGOZA,PEDRO PARGA,,-102.2914327,21.88533151,699
1084915-999-65,1,3,2022,1,14,45,14,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,BURGOS,,-102.3178277,21.86602343,700
1084915-999-66,1,3,2022,1,16,30,14,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,40,0,0,0,0,0,0,0,0,0,0,0,0,3,MONTECRISTO,GENERAL IGNACIO ZARAGOZA,,-102.3053064,21.93004443,701
1084915-999-67,1,3,2022,1,20,0,14,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ MARÍA CHÁVEZ,JOSEMARÍA ESCRIVÁ DE BALAGUER,,-102.28759840000001,21.82600231,702
1084915-999-68,1,3,2022,1,22,30,14,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE DE TABLAS,CALLE DE LA ALIANZA,,-102.253781,21.8475022,703
1084915-999-69,1,3,2022,1,1,40,16,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,62,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,ALAMEDA,,-102.2616555,21.88803791,704
1084915-999-7,1,3,2022,1,15,20,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,UNIVERSIDAD,AGUASCALIENTES NORTE,,-102.3137146,21.91644074,705
1084915-999-70,1,3,2022,1,10,30,16,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,ESFUERZO NACIONAL,LA LOMA,,-102.2484574,21.89640943,706
1084915-999-71,1,3,2022,1,19,0,16,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 NORTE,ÁLAMO,,-102.2976786,21.89922077,707
1084915-999-72,1,3,2022,1,7,45,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0,3,45 NORTE,A ZACATECAS,,-102.2915036,21.92548877,708
1084915-999-73,1,3,2022,1,7,55,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,BELISARIO DOMÍNGUEZ,,-102.30645990000001,21.85850578,709
1084915-999-74,1,3,2022,1,8,0,17,4,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,5,9,46,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,BELISARIO DOMÍNGUEZ,,-102.30645990000001,21.85850578,710
1084915-999-75,1,3,2022,1,9,30,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES - ZACATECAS,BOULEVARD A ZACATECAS,AGUASCALIENTES - ZACATECAS,-102.2907037,21.94464622,711
1084915-999-76,1,3,2022,1,11,40,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,ARROYO,UNIVERSIDAD,,-102.3138873,21.91310728,712
1084915-999-77,1,3,2022,1,16,29,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL IGNACIO ZARAGOZA,MELCHOR OCAMPO,,-102.29317259999999,21.887978,713
1084915-999-78,1,3,2022,1,17,0,17,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,50,0,0,0,0,0,0,0,0,0,0,0,0,3,REPÚBLICA DEL SALVADOR,RÍO DE JANEIRO,,-102.3055028,21.866080399999998,714
1084915-999-79,1,3,2022,1,19,0,17,4,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,LAS HORMIGAS,,-102.2491167,21.88179328,715
